ISSN	REVISTA	QUALIS	AREA	OBS
936-0851	ACS Nano	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1616-301X	Advanced Functional Materials (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0935-9648	Advanced Materials (Weinheim Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0001-8732	Advances in Physics	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1433-7851	Angewandte Chemie (International ed. Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0066-4146	Annual Review of Astronomy and Astrophysics (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0066-426X	Annual Review of Physical Chemistry (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0897-4756	Chemistry of Materials	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1475-7516	Journal of Cosmology and Astroparticle Physics	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0001-8732	Journal of the American Chemical Society (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1530-6984	Nano Letters (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0028-0836	Nature (London)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1752-0894	Nature Geoscience (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1476-1122	Nature Materials (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1748-3387	Nature Nanotechnology (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1749-4885	Nature Photonics (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1745-2473	Nature Physics (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0031-9007	Physical Review Letters (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0370-1573	Physics Reports	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0027-8424	Proceedings of the National Academy of Sciences of the United States of America	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0034-4885	Reports on Progress in Physics (Print)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
8755-1209	Reviews of Geophysics (1985)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0034-6861	Reviews of Modern Physics	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0036-8075	Science (New York, N.Y.)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1095-9203	Science (New York, N.Y.: Online)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0167-5729	Surface Science Reports	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0935-4956	The Astronomy and Astrophysics Review	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0004-637X	The Astrophysical Journal	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0067-0049	The Astrophysical Journal. Supplement Series	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1126-6708	The Journal of High Energy Physics	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1029-8479	The Journal of High Energy Physics (Online)	A1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0360-0300	ACM Computing Surveys	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1742-7061	Acta Biomaterialia	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0108-7673	Acta Crystallographica. Section A, Foundations of Crystallography	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0907-4449	Acta Crystallographica. Section D, Biological Crystallography	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1359-6454	Acta Materialia (Oxford)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1615-4150	Advanced Synthesis & Catalysis (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0003-2654	Analyst (London. 1877. Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0003-2700	Analytical Chemistry (Washington)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0003-4916	Annals of Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
1941-1405	Annual Review of Marine Science	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
0926-3373	Applied Catalysis. B, Environmental (Print)	A2	ASTRONOMIA / FÍSICA	Atualizada em 2012
