0730-0301	ACM Transactions on Graphics	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0098-3500	ACM Transactions on Mathematical Software	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0001-5962	Acta Mathematica	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1019-7168	Advances in Computational Mathematics	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0001-8708	Advances in Mathematics (New York. 1965)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0161-9152	Age	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0002-9262	American Journal of Epidemiology	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0002-9327	American Journal of Mathematics (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0373-0956	Annales de l'Institut Fourier	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1777-5310	Annales de l'Institut Fourier (Online)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0294-1449	Annales de l Institut Henri Poincaré. Analyse non Linéaire	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
	Annales de l'Institut Henri Poincaré, Analyse non Linéaire.	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0012-9593	Annales Scientifiques de l'Ecole Normale Supérieure	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0391-173X	Annali della Scuola Normale Superiore di Pisa. Classe di Scienze (Testo Stampato)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0003-486X	Annals of Mathematics	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0091-1798	Annals of Probability	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0090-5364	Annals of Statistics	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1068-9265	Annals of Surgical Oncology	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1063-5203	Applied and Computational Harmonic Analysis (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0003-9527	Archive for Rational Mechanics and Analysis (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1350-7265	Bernoulli (Andover)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0006-341X	Biometrics (Washington)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0006-3444	Biometrika (London)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0944-2669	Calculus of Variations and Partial Differential Equations	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0010-2571	Commentarii Mathematici Helvetici (Printed ed.)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0010-3616	Communications in Mathematical Physics	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0360-5302	Communications in Partial Differential Equations	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0010-3640	Communications on Pure and Applied Mathematics (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0010-437X	Compositio Mathematica (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0176-4276	Constructive Approximation	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0012-7094	Duke Mathematical Journal	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0012-9658	Ecology (Brooklyn, New York, N.Y.)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1080-6040	Emerging Infectious Diseases (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0143-3857	Ergodic Theory & Dynamical Systems (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1016-443X	Geometric and Functional Analysis (Printed ed.)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1364-0380	Geometry & Topology (Online)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1465-3060	Geometry & Topology (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1065-9471	Human Brain Mapping (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0964-6906	Human Molecular Genetics (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0018-9286	IEEE Transactions on Automatic Control (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1089-778X	IEEE Transactions on Evolutionary Computation	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1057-7149	IEEE Transactions on Image Processing	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0018-9448	IEEE Transactions on Information Theory	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0278-0062	IEEE Transactions on Medical Imaging (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1045-9227	IEEE Transactions on Neural Networks	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0272-4979	IMA Journal of Numerical Analysis	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0022-2518	Indiana University Mathematics Journal	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0020-9910	Inventiones Mathematicae	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0021-7670	Journal d'Analyse Mathématique (Jerusalem)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0021-7824	Journal de Mathématiques Pures et Appliquées	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0075-4102	Journal fur die Reine und Angewandte Mathematik	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1056-3911	Journal of Algebraic Geometry	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0732-183X	Journal of Clinical Oncology	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0095-8956	Journal of Combinatorial Theory. Series B (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1061-8600	Journal of Computational and Graphical Statistics	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0021-9991	Journal of Computational Physics (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1475-7516	Journal of Cosmology and Astroparticle Physics	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0022-0396	Journal of Differential Equations (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0022-040X	Journal of Differential Geometry	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0022-1236	Journal of Functional Analysis	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0742-1222	Journal of Management Information Systems	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0022-314X	Journal of Number Theory (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0894-0347	Journal of the American Mathematical Society	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0162-1459	Journal of the American Statistical Association	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1435-9855	Journal of the European Mathematical Society (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0024-6107	Journal of the London Mathematical Society (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1369-7412	Journal of the Royal Statistical Society. Series B, Statistical Methodology (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1470-2045	Lancet Oncology	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0960-1627	Mathematical Finance (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0025-5610	Mathematical Programming	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0025-5718	Mathematics of Computation	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0364-765X	Mathematics of Operations Research	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0025-5831	Mathematische Annalen	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0025-5874	Mathematische Zeitschrift	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0065-9266	Memoirs of the American Mathematical Society	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0950-382X	Molecular Microbiology (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1540-3459	Multiscale Modeling & Simulation (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0305-1048	Nucleic Acids Research	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0029-599X	Numerische Mathematik	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0031-9007	Physical Review Letters (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0178-8051	Probability Theory and Related Fields	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0024-6115	Proceedings of the London Mathematical Society (Print)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0027-8424	Proceedings of the National Academy of Sciences of the United States of America	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
0073-8301	Publications Mathématiques (Bures-sur-Yvette)	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
1533-7146	Quantum Information & Computation	A1	MATEMÁTICA / PROBABILIDADE E Atualizado
